Id,SerialNumber,DeviceType,ProvisioningPublicKeyId,ExternalUrl
8bfdabe3-e943-4ff9-a51d-49bc16fa5636,TTR000000112,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000112
c3f3e656-e29a-4421-8e82-3393de1c3b4e,TTR000000113,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000113
1c615508-e70d-49e0-9a4d-a20fb975d066,TTR000000114,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000114
4ca04b9c-ae63-4e90-8d63-f3f8011b8d94,TTR000000115,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000115
bc45752f-5a77-4629-943b-12aaa2c2854d,TTR000000116,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000116
db177c33-27bf-4918-b661-1a8a7b0363eb,TTR000000117,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000117
5ff8d20e-3acf-471b-8cea-8a7714336e90,TTR000000118,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000118
c0faa8fa-97dd-42a4-8c06-66c3f058b367,TTR000000119,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000119
e948422b-fc94-4008-b269-73d4e62ab85f,TTR000000120,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000120
8455002d-b3ec-4daa-8640-95265c831fbb,TTR000000121,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000121
f46dd4bf-bbd2-4976-940a-2644fc4adda3,TTR000000122,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000122
f80ed947-18c1-4a79-9007-7234de19b6e7,TTR000000123,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000123
070602b4-89bf-4858-b8a2-b5a84c9a3c4f,TTR000000124,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000124
7a3186b3-103c-4bb3-bb6b-9196b367a231,TTR000000125,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000125
ba8028a8-4326-4b76-be54-409a453f03c6,TTR000000126,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000126
7b252329-c68c-4a2d-95d1-b51f98fee395,TTR000000127,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000127
e0e2f6bf-e363-4ec8-878b-a2aa35de015e,TTR000000128,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000128
d917fc58-b9c3-40f4-a097-da2560022d0f,TTR000000129,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000129
3b13397e-6b0c-44c6-a9d9-2ab60e449773,TTR000000130,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000130
57cfb12b-645e-4b1e-8f22-e33f8af7e67e,TTR000000131,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000131
175da6ee-f815-4891-84ea-0b50b29ab47d,TTR000000132,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000132
23659af9-1741-4126-a9e7-d791e6ed680e,TTR000000133,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000133
3a689595-e96e-4b00-9b41-fcdee9747312,TTR000000134,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000134
87c53214-de8d-4b60-82cd-c5600b828628,TTR000000135,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000135
bad525e2-5036-4371-b0f5-8c4bed16cd99,TTR000000136,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000136
4902137d-43f6-4682-b10d-b01b54200f40,TTR000000137,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000137
